"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","ntrees","hab.fact"
1.478e-07,7055.6302,394018.712,522007.4045,4083699.431,3827722.0461,82889.724,3830.6072,22832.8852,0.9203,13965.6536,1893797208,159168.8,"./run_795240/iter_000066",500,32
1.623e-07,10269.2896,394018.712,841979.1357,3859719.2192,4211688.1235,66036.9122,2269.3653,30380.4022,0.8541,9800.9668,264754023,166871.3,"./run_795240/iter_000086",500,32
6.4655e-08,16390.5118,362021.5389,522007.4045,3955710.7385,3987707.9117,314445.3407,203482.6534,14987.7514,0.7182,17798.573,1764487985,173333.2,"./run_161575/iter_000083",500,32
6.7083e-08,15922.9855,681993.2701,458013.0582,3955710.7385,3827722.0461,457973.7285,257056.8763,12279.6027,0.7931,16934.3686,1725928404,180700.9,"./run_161575/iter_000086",500,32
6.4715e-08,12006.1736,713990.4432,649996.097,4147693.7773,4051702.2579,305192.8566,88635.6729,24888.689,0.5894,17210.8019,1980130421,186596.1,"./run_933885/iter_000087",500,32
1.3011e-07,6182.1468,649996.097,330024.3658,3987707.9117,3923713.5654,211154.8379,47364.7419,28002.8827,0.4783,19303.3345,793685987,187590,"./run_382364/iter_000064",500,32
6.3705e-08,9821.3117,617998.9238,394018.712,3699733.3536,4179690.9504,248555.2683,128246.5134,20660.3628,1.1462,30228.9379,775662913,189259.8,"./run_933885/iter_000075",500,32
1.1938e-07,8309.9633,841979.1357,522007.4045,4115696.6041,3731730.5267,42672.919,3592.3696,33729.8324,1.0057,19224.938,891647323,189736.1,"./run_795240/iter_000100",500,32
7.534e-08,17386.7195,490010.2314,490010.2314,3827722.0461,3891716.3923,250933.8908,41684.7204,8204.4972,0.4441,27729.6966,557629815,190315.8,"./run_598794/iter_000070",500,32
1.1725e-07,5625.9768,841979.1357,522007.4045,4179690.9504,3827722.0461,142065.1705,3775.3001,21213.705,1.2273,18590.7953,546007812,192837.3,"./run_795240/iter_000034",500,32
6.3019e-08,12725.1256,617998.9238,522007.4045,3827722.0461,3955710.7385,343594.765,89466.6261,35747.5937,0.6601,22803.6055,1186302341,197818.4,"./run_933885/iter_000097",500,32
1.103e-07,5632.8664,617998.9238,586001.7507,3859719.2192,4147693.7773,150609.6761,78562.9337,27270.2121,1.3157,31781.5334,426644985,198133.8,"./run_518956/iter_000078",500,32
1.0292e-07,8921.9684,458013.0582,681993.2701,3955710.7385,3699733.3536,338348.0241,118391.5932,25383.8923,0.7075,22865.7969,1887073831,204362.6,"./run_829585/iter_000063",500,32
9.4207e-08,10447.1706,522007.4045,777984.7894,3635739.0073,3795724.8729,223772.7175,6551.5818,14728.1316,0.6574,49722.4251,1424229362,205322.4,"./run_780958/iter_000012",500,32
6.1802e-08,9017.0313,649996.097,681993.2701,3859719.2192,3891716.3923,265141.4646,55866.9472,6032.1005,0.5617,30466.0224,1376549372,208276.3,"./run_545202/iter_000084",500,32
5.6289e-08,8693.3211,586001.7507,617998.9238,3795724.8729,3731730.5267,324386.7671,42576.7397,21192.6864,0.9361,33725.1209,993836112,209091.4,"./run_606180/iter_000097",500,32
1.6616e-07,7547.2661,745987.6163,713990.4432,4051702.2579,4083699.431,178613.9849,51961.7769,32398.1909,0.5467,11670.0172,1432473720,209830.8,"./run_382364/iter_000095",500,32
6.7877e-08,7372.0282,522007.4045,586001.7507,3859719.2192,4211688.1235,192535.6786,41680.785,17409.6724,0.4288,11645.7545,25966281,209858.3,"./run_885867/iter_000047",500,32
7.8665e-08,8222.2798,490010.2314,458013.0582,3891716.3923,3795724.8729,114927.1978,180778.5202,26201.1822,1.0035,36296.3,1291778170,214385.4,"./run_301094/iter_000093",500,32
6.5874e-08,14976.5272,458013.0582,777984.7894,3795724.8729,4019705.0848,278292.186,7113.584,21312.399,0.9498,49782.4009,209660939,215437.7,"./run_780958/iter_000020",500,32
7.4146e-08,8757.4832,522007.4045,649996.097,3923713.5654,3731730.5267,202483.1993,77006.3655,7893.9056,0.803,82597.0629,598397864,215976.2,"./run_701578/iter_000080",500,32
